id,district_id,name_en,postcode,latitude,longitude
1401,17,Matara,81000,5.94953080,80.53039310
1402,17,Mediripitiya,81524,6.35070950,80.49309040
1403,17,Miella,81312,6.11791320,80.67161110
1404,17,Mirissa,81740,5.94826200,80.47158660
1405,17,Morawaka,81470,6.26528020,80.49104700
1406,17,Mulatiyana Junction,81071,6.16208860,80.58550380
1407,17,Nadugala,81092,5.98136590,80.54971010
1408,17,Naimana,81017,5.96344580,80.56584960
1409,17,Palatuwa,81050,5.97631240,80.51844180
1410,17,Parapamulla,81322,6.15162590,80.62186660
1411,17,Pasgoda,81615,6.24639160,80.60771320
1412,17,Penetiyana,81722,6.04772800,80.44994740
1413,17,Pitabeddara,81450,6.20707730,80.46324500
1414,17,Puhulwella,81290,6.05152880,80.62575390
1415,17,Radawela,81316,7.67275800,80.70937300
1416,17,Ransegoda,81064,6.11862980,80.56415070
1417,17,Rotumba,81074,6.22578800,80.57597720
1418,17,Sultanagoda,81051,5.97724210,80.51099480
1419,17,Telijjawila,81060,6.02508460,80.49591140
1420,17,Thihagoda,81280,6.01333870,80.56600410
1421,17,Urubokka,81600,6.30652970,80.63061030
1422,17,Urugamuwa,81230,6.01007300,80.64795240
1423,17,Urumutta,81414,6.16195980,80.51692520
1424,17,Viharahena,81508,6.38276970,80.60202340
1425,17,Walakanda,81294,6.02305050,80.65586580
1426,17,Walasgala,81220,5.98284010,80.69857010
1427,17,Waralla,81479,6.27638310,80.52439700
1428,17,Weligama,81700,5.97303210,80.42280410
1429,17,Wilpita,81404,5.94603270,80.55772880
1430,17,Yatiyana,81034,6.03027130,80.60632530
1431,18,Ayiwela,91516,7.10702560,81.25048550
1432,18,Badalkumbura,91070,6.89559920,81.23635890
1433,18,Baduluwela,91058,6.99340090,81.05498150
1434,18,Bakinigahawela,91554,6.99824690,81.28508070
1435,18,Balaharuwa,91295,6.53084900,81.06442630
1436,18,Bibile,91500,6.86086240,81.35025410
1437,18,Buddama,91038,7.04054500,81.48880660
1438,18,Buttala,91100,6.75892330,81.24912980
1439,18,Dambagalla,91050,6.94999990,81.36666710
1440,18,Diyakobala,91514,7.15884730,81.19934040
1441,18,Dombagahawela,91010,6.90764870,81.50941940
1442,18,Ethimalewewa,91020,6.81115120,81.50203280
1443,18,Ettiliwewa,91250,6.89064540,81.34544170
1444,18,Galabedda,91008,6.91911390,81.38509100
1445,18,Gamewela,90512,6.92464050,81.20533240
1446,18,Hambegamuwa,91308,6.53863360,80.96301560
1447,18,Hingurukaduwa,90508,6.82574560,81.16298410
1448,18,Hulandawa,91004,6.85467910,81.33856630
1449,18,Inginiyagala,91040,7.21381560,81.54318720
1450,18,Kandaudapanguwa,91032,6.98034640,81.54148000
1451,18,Kandawinna,91552,6.89064540,81.34544170
1452,18,Kataragama,91400,6.41354630,81.33256790
1453,18,Kotagama,91512,7.11098880,81.18026190
1454,18,Kotamuduna,90506,6.89022610,81.17750590
1455,18,Kotawehera Mankada,91312,6.64690700,80.90847550
1456,18,Kudawewa,61226,8.56222220,80.69388890
